Species,Family,Habit,Plant ID,Windspeed,Run Time,Leaf Area_1side,Frictional Force (T),Frictional Force (B),T91(g),T42(g),PTFE(g),T91(ug),T42(ug),PTFE(ug),SLA,PM2.5(ug),PM10(ug),PM32(ug),DV_PM32,DV_PM10,DV_PM2.5,CP_PM32,CP_PM10,CP_PM2.5,Hairiness(T),Hairiness(B),Avg_Leaf_Size,Leaf_Area_2side
Adinandra dumosa,Pentaphylacaceae,Tree,Adindu 1,2.2,900,522.736,1.573,1.49314,0.00165,7.8e-4,2.8e-4,1650,780,280,132.4790917,64.94072848,8.486887417,8.507284768,2.06129e-4,9.77e-5,4.58e-6,9.37e-5,4.44e-5,2.08e-6,0,0,47.52145565,1045.472
Adinandra dumosa,Pentaphylacaceae,Tree,Adindu 2,2.2,900,419.3911,1.54396,1.43506,0.00207,7.8e-4,1.2e-4,2070,780,120,118.9458294,55.75218543,11.16582781,3.179470199,8.6243e-4,9.25e-5,2.85e-6,3.92014e-4,4.21e-5,1.3e-6,0,0,46.59900646,838.7822
Adinandra dumosa,Pentaphylacaceae,Tree,Adindu 3,2.2,900,576.1639,1.55001,1.3915,0.00169,8.5e-4,1.7e-4,1690,850,170,106.6989944,57.62178808,8.557682119,6.633774834,2.45645e-4,9.58e-5,2.84e-6,1.11657e-4,4.35e-5,1.29e-6,0,0,44.32029707,1152.3278
Bauhinia semibifida,Fabaceae,Climber,Bauhse 1,2.2,900,570.6275,1.4157,1.37819,0.00516,0.00124,9e-4,5160,1240,900,199.1093548,78.76238411,5.988609272,0.933046358,0.005384201,2.01591e-4,1.11e-5,0.002447364,9.16e-5,5.06e-6,269366.5287,179382.6189,38.04183048,1141.255
Bauhinia semibifida,Fabaceae,Climber,Bauhse 2,2.2,900,604.1418,1.37698,1.40965,0.00491,9.6e-4,5.1e-4,4910,960,510,204.7383083,75.80668874,3.775231788,1.768211921,0.0025535,2.33839e-4,6.19e-6,0.001160682,1.0629e-4,2.81e-6,269366.5287,179382.6189,50.34514988,1208.2836
Bauhinia semibifida,Fabaceae,Climber,Bauhse 3,2.2,900,560.0217,1.40602,1.42054,0.0036,0.00103,7.4e-4,3600,1030,740,203.9111928,73.65741722,3.835761589,0.714437086,0.0049987470000000004,2.66384e-4,9.97e-6,0.002272158,1.21084e-4,4.53e-6,269366.5287,179382.6189,40.00155313,1120.0434
Bridelia stipularis,Phyllanthaceae,Shrub,Bridst 1,2.2,900,552.6544,1.42659,1.47378,0.00336,0.0011,4.6e-4,3360,1100,460,204.4520735,76.84324503,14.16728477,3.337019868,0.001012172,7.81e-5,6.02e-6,4.60078e-4,3.55e-5,2.74e-6,28018.27697,99214.31153,50.24130682,1105.3088
Bridelia stipularis,Phyllanthaceae,Shrub,Bridst 2,2.2,900,549.9524,1.43627,1.47378,0.00267,0.00112,6.7e-4,2670,1120,670,184.7089407,62.83152318,10.21291391,10.74112583,2.5111e-4,1.10782e-4,1.08e-5,1.14141e-4,5.04e-5,4.9e-6,28018.27697,99214.31153,45.82936444,1099.9048
Bridelia stipularis,Phyllanthaceae,Shrub,Bridst 3,2.2,900,495.1782,1.37577,1.44111,0.0026,8e-4,2.4e-4,2600,800,240,187.0432122,60.82245033,8.920993377,1.607019868,0.001815173,1.0061e-4,4.43e-6,8.25079e-4,4.57e-5,2.01e-6,28018.27697,99214.31153,45.01620163,990.3564
Bridelia tomentosa,Phyllanthaceae,Tree/Shrub,Bridto 1,2.2,900,419.7478,1.27171,1.30075,0.00395,9.8e-4,6e-4,3950,980,600,202.0154972,66.73781457,11.77384106,3.851523179,0.001357387,1.10166e-4,1.19e-5,6.16994e-4,5.01e-5,5.41e-6,10183.34503,73671.66025,23.31932398,839.4956
Bridelia tomentosa,Phyllanthaceae,Tree/Shrub,Bridto 2,2.2,900,605.1655,1.3552,1.27897,0.00286,8.4e-4,4.9e-4,2860,840,490,166.7398193,74.53205298,7.519668874,3.700860927,7.09442e-4,1.0255e-4,6.04e-6,3.22473e-4,4.66e-5,2.74e-6,10183.34503,73671.66025,37.82284078,1210.331
Bridelia tomentosa,Phyllanthaceae,Tree/Shrub,Bridto 3,2.2,900,477.2307,1.30922,1.26203,0.00378,8.9e-4,6.2e-4,3780,890,620,206.5933766,52.51033113,5.690198675,0.480331126,0.009161154,1.8208e-4,1.37e-5,0.004164161,8.28e-5,6.25e-6,10183.34503,73671.66025,26.51281419,954.4614
Callicarpa longifolia,Lamiaceae,Shrub,Calllo 1,2.2,900,705.0475,1.42175,1.34552,0.00426,8.6e-4,6.6e-4,4260,860,660,312.4795018,67.8210596,12.94178808,4.67602649,7.17863e-4,5.24e-5,7.67e-6,3.26302e-4,2.38e-5,3.49e-6,65206.47891,40871.34351,88.13094324,1410.095
Callicarpa longifolia,Lamiaceae,Shrub,Calllo 2,2.2,900,595.1214,1.38787,1.42417,0.01261,6.2e-4,3.3e-4,12610,620,330,347.516146,71.36966887,11.45046358,14.00761589,8.40374e-4,5.05e-5,4.32e-6,3.81988e-4,2.3e-5,1.96e-6,65206.47891,40871.34351,54.10194423,1190.2428
Callicarpa longifolia,Lamiaceae,Shrub,Calllo 3,2.2,900,521.0418,1.44837,1.36004,0.00152,5.7e-4,1.3e-4,1520,570,130,330.5683289,56.29066225,8.680596026,3.534172185,4.58575e-4,7e-5,2.46e-6,2.08443e-4,3.18e-5,1.12e-6,65206.47891,40871.34351,74.43453576,1042.0836
Cheilocostus globosus,Costaceae,Shrub,Cheigl 1,2.2,900,432.0777,1.27413,1.2826,0.00234,7.4e-4,4.3e-4,2340,740,430,277.3106347,60.6351773,10.1829078,3.903758865,7.70723e-4,9.34e-5,9.12e-6,3.50329e-4,4.25e-5,4.14e-6,15237.42707,228828.5123,48.00863326,864.1554
Cheilocostus globosus,Costaceae,Shrub,Cheigl 2,2.2,900,457.4837,1.30317,1.33826,0.00282,6.6e-4,1.5e-4,2820,660,150,277.5656474,63.7113245,10.29695364,1.684635762,0.002032801,7.78e-5,2.86e-6,9.24001e-4,3.54e-5,1.3e-6,15237.42707,228828.5123,45.74836699,914.9674
Cheilocostus globosus,Costaceae,Shrub,Cheigl 3,2.2,900,469.8591,1.33826,1.36488,0.00284,7.6e-4,4.4e-4,2840,760,440,269.2447997,79.51761589,8.783708609,1.343509934,0.002499409,1.02305e-4,6.54e-6,0.001136095,4.65e-5,2.97e-6,15237.42707,228828.5123,52.206569880000004,939.7182
Clidemia hirta,Melastomataceae,Shrub,Clidehi 1,2.2,900,458.1226,1.47499,1.50887,0.00576,9.2e-4,6.8e-4,5760,920,680,184.689619,61.5002649,14.73748344,15.42456954,4.52851e-4,7.57e-5,1.34e-5,2.05841e-4,3.44e-5,6.09e-6,5230.984309,6531.915842,41.64750849,916.2452
Clidemia hirta,Melastomataceae,Shrub,Clidehi 2,2.2,900,480.6777,1.49919,1.33705,0.00419,9.9e-4,6.3e-4,4190,990,630,158.2373835,66.39900662,12.82569536,5.82192053,8.31805e-4,8.92e-5,1.1e-5,3.78093e-4,4.06e-5,4.98e-6,5230.984309,6531.915842,36.97521117,961.3554
Clidemia hirta,Melastomataceae,Shrub,Clidehi 3,2.2,900,511.8936,1.58994,1.48951,0.00346,8.7e-4,6.7e-4,3460,870,670,227.4981556,52.71264901,80.21576159,49.64059603,7.56e-5,1.18e-5,1.38e-5,3.44e-5,5.35e-6,6.27e-6,5230.984309,6531.915842,46.53578151,1023.7872
Ficus aurata,Moraceae,Tree/Shrub,Ficuau 1,2.2,900,522.3031,1.65165,1.43022,0.00874,0.0013,9.2e-4,8740,1300,920,160.4519231,67.19291391,5.779403974,4.114238411,0.002259576,2.39257e-4,1.46e-5,0.00102708,1.08753e-4,6.62e-6,32790.86021,157953.4623,87.05051829,1044.6062
Ficus aurata,Moraceae,Tree/Shrub,Ficuau 2,2.2,900,769.969,1.69763,1.52702,0.00934,0.00141,8.7e-4,9340,1410,870,177.4040367,65.45019868,4.684172185,1.470860927,0.00458173,2.1719e-4,9.59e-6,0.002082605,9.87e-5,4.36e-6,32790.86021,157953.4623,64.16408273,1539.938
Ficus aurata,Moraceae,Tree/Shrub,Ficuau 3,2.2,900,700.1308,1.5246,1.51855,0.00643,0.00135,7.5e-4,6430,1350,750,179.0753255,65.23178808,4.887086093,0.824503311,0.006188236,2.19196e-4,9.12e-6,0.002812835,9.96e-5,4.15e-6,32790.86021,157953.4623,46.67538544,1400.2616
Gardenia carinata,Rubiaceae,Tree/Shrub,Gardca 1,2.2,900,710.0326,1.45684,1.21484,0.01579,0.0012,8.7e-4,15790,1200,870,146.9894628,70.91516556,30.55456954,2.743245033,0.004503672,3.07e-5,9.6e-6,0.002047124,1.4e-5,4.36e-6,18903.52874,37966.50196,78.89251395,1420.0652
Gardenia carinata,Rubiaceae,Tree/Shrub,Gardca 2,2.2,900,545.0287,1.43748,1.14466,0.01075,0.00179,0.00136,10750,1790,1360,143.2024961,74.56523179,10.16364238,5.377682119,0.002037612,1.7952e-4,1.86e-5,9.26187e-4,8.16e-5,8.45e-6,18903.52874,37966.50196,45.4190606,1090.0574
Gardenia carinata,Rubiaceae,Tree/Shrub,Gardca 3,2.2,900,879.9315,1.43143,1.24872,0.01722,0.00119,0.00104,17220,1190,1040,143.7068642,61.54655629,9.205960265,0.412251656,0.026372383,8.16e-5,1.07e-5,0.011987447,3.71e-5,4.85e-6,18903.52874,37966.50196,97.77016624,1759.863
Gironniera nervosa,Cannabaceae,Tree,Girone 1,2.2,900,569.9779,1.28381,1.32011,0.00757,0.00102,9.4e-4,7570,1020,940,173.2876991,63.37284768,6.194768212,0.879337748,0.008390921,1.60489e-4,1.45e-5,0.003814055,7.29e-5,6.57e-6,10964.47517,40095.90151,63.3308805,1139.9558
Gironniera nervosa,Cannabaceae,Tree,Girone 2,2.2,900,428.5102,1.3915,1.3673,0.00539,0.00105,5e-4,5390,1050,500,188.3395745,63.40854305,6.413245033,1.48410596,0.004708583,2.12265e-4,1.02e-5,0.002140265,9.65e-5,4.65e-6,10964.47517,40095.90151,71.41836328,857.0204
Gironniera nervosa,Cannabaceae,Tree,Girone 3,2.2,900,477.371,1.41086,1.46773,0.00635,0.00112,6.7e-4,6350,1120,670,176.2231902,73.16291391,8.810066225,2.261788079,0.003267332,1.47948e-4,1.07e-5,0.001485151,6.72e-5,4.84e-6,10964.47517,40095.90151,59.67137669,954.742
Gnetum gnemon,Gnetaceae,Tree,Gnetge 1,2.2,900,469.9753,1.43748,1.52097,0.00224,6.7e-4,2.8e-4,2240,670,280,186.0183257,59.08774834,7.218278146,0.399006623,0.006636214,1.09722e-4,5.6e-6,0.003016461,4.99e-5,2.55e-6,0,0,46.99753294,939.9506
Gnetum gnemon,Gnetaceae,Tree,Gnetge 2,2.2,900,534.6491,1.2705,1.41691,0.0026,7.5e-4,3.2e-4,2600,750,320,167.706744,60.56364238,6.831125828,0.164900662,0.01638361,1.14085e-4,5.49e-6,0.007447095,5.19e-5,2.5e-6,0,0,44.55409221,1069.2982
Gnetum gnemon,Gnetaceae,Tree,Gnetge 3,2.2,900,417.0818,1.37335,1.43748,0.00214,7.4e-4,4.2e-4,2140,740,420,177.3457777,62.72682119,6.227748344,1.123774834,0.002536534,1.58273e-4,8.92e-6,0.00115297,7.19e-5,4.05e-6,0,0,34.75681796,834.1636
Grewia laevigata,Malvaceae,Climber/Shrub,Grewla 1,2.2,900,551.8479,1.29712,1.23783,0.00555,0.001,7.7e-4,5550,1000,770,228.7168021,69.68635762,3.869072848,1.286754967,0.004342154,2.60196e-4,1.11e-5,0.001973706,1.18271e-4,5.06e-6,9805.331747,16374.42514,45.98732111,1103.6958
Grewia laevigata,Malvaceae,Climber/Shrub,Grewla 2,2.2,900,546.8515,1.31164,1.25235,0.00571,0.00124,9.8e-4,5710,1240,980,193.0018705,75.18205298,4.904768212,0.824503311,0.007035611,2.56839e-4,1.32e-5,0.003198005,1.16745e-4,6.02e-6,9805.331747,16374.42514,39.06082281,1093.703
Grewia laevigata,Malvaceae,Climber/Shrub,Grewla 3,2.2,900,419.8849,1.36246,1.24509,0.00398,0.00123,9.7e-4,3980,1230,970,216.7147871,67.65847682,5.273245033,1.947483444,0.002703999,3.0862e-4,1.9e-5,0.00122909,1.40282e-4,8.62e-6,9805.331747,16374.42514,29.99177802,839.7698
Melastoma malabathricum,Melastomataceae,Shrub,Melama 1,2.2,900,345.1317,1.52702,1.50645,0.00106,5.7e-4,3.7e-4,1060,570,370,213.0705643,82.43463576,13.53066225,12.25761589,1.39201e-4,6.78e-5,7.22e-6,6.33e-5,3.08e-5,3.28e-6,10301.72504,28522.93938,24.65226492,690.2634
