Species,Family,Habit,Plant ID,Windspeed,Run Time,Leaf Area_1side,Frictional Force (T),Frictional Force (B),T91(g),T42(g),PTFE(g),T91(ug),T42(ug),PTFE(ug),SLA,PM2.5(ug),PM10(ug),PM32(ug),DV_PM32,DV_PM10,DV_PM2.5,CP_PM32,CP_PM10,CP_PM2.5,Hairiness(T),Hairiness(B),Avg_Leaf_Size,Leaf_Area_2side
Adinandra dumosa,Pentaphylacaceae,Tree,Adindu 1,2.2,900,522.736,1.573,1.49314,0.00165,0.00078,0.00028,1650,780,280,132.4790917,64.94072848,8.486887417,8.507284768,0.000206129,9.77E-05,4.58E-06,9.37E-05,4.44E-05,2.08E-06,0,0,47.52145565,1045.472
Adinandra dumosa,Pentaphylacaceae,Tree,Adindu 2,2.2,900,419.3911,1.54396,1.43506,0.00207,0.00078,0.00012,2070,780,120,118.9458294,55.75218543,11.16582781,3.179470199,0.00086243,9.25E-05,2.85E-06,0.000392014,4.21E-05,1.30E-06,0,0,46.59900646,838.7822
Adinandra dumosa,Pentaphylacaceae,Tree,Adindu 3,2.2,900,576.1639,1.55001,1.3915,0.00169,0.00085,0.00017,1690,850,170,106.6989944,57.62178808,8.557682119,6.633774834,0.000245645,9.58E-05,2.84E-06,0.000111657,4.35E-05,1.29E-06,0,0,44.32029707,1152.3278
Bauhinia semibifida,Fabaceae,Climber,Bauhse 1,2.2,900,570.6275,1.4157,1.37819,0.00516,0.00124,0.0009,5160,1240,900,199.1093548,78.76238411,5.988609272,0.933046358,0.005384201,0.000201591,1.11E-05,0.002447364,9.16E-05,5.06E-06,269366.5287,179382.6189,38.04183048,1141.255
Bauhinia semibifida,Fabaceae,Climber,Bauhse 2,2.2,900,604.1418,1.37698,1.40965,0.00491,0.00096,0.00051,4910,960,510,204.7383083,75.80668874,3.775231788,1.768211921,0.0025535,0.000233839,6.19E-06,0.001160682,0.00010629,2.81E-06,269366.5287,179382.6189,50.34514988,1208.2836
Bauhinia semibifida,Fabaceae,Climber,Bauhse 3,2.2,900,560.0217,1.40602,1.42054,0.0036,0.00103,0.00074,3600,1030,740,203.9111928,73.65741722,3.835761589,0.714437086,0.004998747,0.000266384,9.97E-06,0.002272158,0.000121084,4.53E-06,269366.5287,179382.6189,40.00155313,1120.0434
Bridelia stipularis,Phyllanthaceae,Shrub,Bridst 1,2.2,900,552.6544,1.42659,1.47378,0.00336,0.0011,0.00046,3360,1100,460,204.4520735,76.84324503,14.16728477,3.337019868,0.001012172,7.81E-05,6.02E-06,0.000460078,3.55E-05,2.74E-06,28018.27697,99214.31153,50.24130682,1105.3088
Bridelia stipularis,Phyllanthaceae,Shrub,Bridst 2,2.2,900,549.9524,1.43627,1.47378,0.00267,0.00112,0.00067,2670,1120,670,184.7089407,62.83152318,10.21291391,10.74112583,0.00025111,0.000110782,1.08E-05,0.000114141,5.04E-05,4.90E-06,28018.27697,99214.31153,45.82936444,1099.9048
Bridelia stipularis,Phyllanthaceae,Shrub,Bridst 3,2.2,900,495.1782,1.37577,1.44111,0.0026,0.0008,0.00024,2600,800,240,187.0432122,60.82245033,8.920993377,1.607019868,0.001815173,0.00010061,4.43E-06,0.000825079,4.57E-05,2.01E-06,28018.27697,99214.31153,45.01620163,990.3564
Bridelia tomentosa,Phyllanthaceae,Tree/Shrub,Bridto 1,2.2,900,419.7478,1.27171,1.30075,0.00395,0.00098,0.0006,3950,980,600,202.0154972,66.73781457,11.77384106,3.851523179,0.001357387,0.000110166,1.19E-05,0.000616994,5.01E-05,5.41E-06,10183.34503,73671.66025,23.31932398,839.4956
Bridelia tomentosa,Phyllanthaceae,Tree/Shrub,Bridto 2,2.2,900,605.1655,1.3552,1.27897,0.00286,0.00084,0.00049,2860,840,490,166.7398193,74.53205298,7.519668874,3.700860927,0.000709442,0.00010255,6.04E-06,0.000322473,4.66E-05,2.74E-06,10183.34503,73671.66025,37.82284078,1210.331
Bridelia tomentosa,Phyllanthaceae,Tree/Shrub,Bridto 3,2.2,900,477.2307,1.30922,1.26203,0.00378,0.00089,0.00062,3780,890,620,206.5933766,52.51033113,5.690198675,0.480331126,0.009161154,0.00018208,1.37E-05,0.004164161,8.28E-05,6.25E-06,10183.34503,73671.66025,26.51281419,954.4614
Callicarpa longifolia,Lamiaceae,Shrub,Calllo 1,2.2,900,705.0475,1.42175,1.34552,0.00426,0.00086,0.00066,4260,860,660,312.4795018,67.8210596,12.94178808,4.67602649,0.000717863,5.24E-05,7.67E-06,0.000326302,2.38E-05,3.49E-06,65206.47891,40871.34351,88.13094324,1410.095
Callicarpa longifolia,Lamiaceae,Shrub,Calllo 2,2.2,900,595.1214,1.38787,1.42417,0.01261,0.00062,0.00033,12610,620,330,347.516146,71.36966887,11.45046358,14.00761589,0.000840374,5.05E-05,4.32E-06,0.000381988,2.30E-05,1.96E-06,65206.47891,40871.34351,54.10194423,1190.2428
Callicarpa longifolia,Lamiaceae,Shrub,Calllo 3,2.2,900,521.0418,1.44837,1.36004,0.00152,0.00057,0.00013,1520,570,130,330.5683289,56.29066225,8.680596026,3.534172185,0.000458575,7.00E-05,2.46E-06,0.000208443,3.18E-05,1.12E-06,65206.47891,40871.34351,74.43453576,1042.0836
Cheilocostus globosus,Costaceae,Shrub,Cheigl 1,2.2,900,432.0777,1.27413,1.2826,0.00234,0.00074,0.00043,2340,740,430,277.3106347,60.6351773,10.1829078,3.903758865,0.000770723,9.34E-05,9.12E-06,0.000350329,4.25E-05,4.14E-06,15237.42707,228828.5123,48.00863326,864.1554
Cheilocostus globosus,Costaceae,Shrub,Cheigl 2,2.2,900,457.4837,1.30317,1.33826,0.00282,0.00066,0.00015,2820,660,150,277.5656474,63.7113245,10.29695364,1.684635762,0.002032801,7.78E-05,2.86E-06,0.000924001,3.54E-05,1.30E-06,15237.42707,228828.5123,45.74836699,914.9674
Cheilocostus globosus,Costaceae,Shrub,Cheigl 3,2.2,900,469.8591,1.33826,1.36488,0.00284,0.00076,0.00044,2840,760,440,269.2447997,79.51761589,8.783708609,1.343509934,0.002499409,0.000102305,6.54E-06,0.001136095,4.65E-05,2.97E-06,15237.42707,228828.5123,52.20656988,939.7182
Clidemia hirta,Melastomataceae,Shrub,Clidehi 1,2.2,900,458.1226,1.47499,1.50887,0.00576,0.00092,0.00068,5760,920,680,184.689619,61.5002649,14.73748344,15.42456954,0.000452851,7.57E-05,1.34E-05,0.000205841,3.44E-05,6.09E-06,5230.984309,6531.915842,41.64750849,916.2452
Clidemia hirta,Melastomataceae,Shrub,Clidehi 2,2.2,900,480.6777,1.49919,1.33705,0.00419,0.00099,0.00063,4190,990,630,158.2373835,66.39900662,12.82569536,5.82192053,0.000831805,8.92E-05,1.10E-05,0.000378093,4.06E-05,4.98E-06,5230.984309,6531.915842,36.97521117,961.3554
Clidemia hirta,Melastomataceae,Shrub,Clidehi 3,2.2,900,511.8936,1.58994,1.48951,0.00346,0.00087,0.00067,3460,870,670,227.4981556,52.71264901,80.21576159,49.64059603,7.56E-05,1.18E-05,1.38E-05,3.44E-05,5.35E-06,6.27E-06,5230.984309,6531.915842,46.53578151,1023.7872
Ficus aurata,Moraceae,Tree/Shrub,Ficuau 1,2.2,900,522.3031,1.65165,1.43022,0.00874,0.0013,0.00092,8740,1300,920,160.4519231,67.19291391,5.779403974,4.114238411,0.002259576,0.000239257,1.46E-05,0.00102708,0.000108753,6.62E-06,32790.86021,157953.4623,87.05051829,1044.6062
Ficus aurata,Moraceae,Tree/Shrub,Ficuau 2,2.2,900,769.969,1.69763,1.52702,0.00934,0.00141,0.00087,9340,1410,870,177.4040367,65.45019868,4.684172185,1.470860927,0.00458173,0.00021719,9.59E-06,0.002082605,9.87E-05,4.36E-06,32790.86021,157953.4623,64.16408273,1539.938
